Title,Location,Price,Bedrooms,Bathrooms,Toilets,Agent,DateAdded,ImageURL,URL
Most Affordable 4bedroom Maisonette With Pool & Bq,"Old Ikoyi, Ikoyi, Lagos","₦950,000,000",4 Bed,5 Bath,5 Toilet,"Royal9ja Properties Management

  08092302956",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922613/0684e908ab8a32-most-affordable-4bedroom-maisonette-with-pool-bq-for-sale-old-ikoyi-ikoyi-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/ikoyi/old-ikoyi/2922613-most-affordable-4bedroom-maisonette-with-pool-bq
"Waterview 5 Bedroom Terraced Duplex With Swimming Pool, Gym And Bq","Banana Island, Ikoyi, Lagos","$2,000,000",5 Bed,6 Bath,6 Toilet,"Propertiescapes Limited

  08170077419",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922641/0684e98c1d1b53-waterview-5-bedroom-terraced-duplex-with-swimming-pool-gym-and-bq-terraced-duplexes-for-sale-banana-island-ikoyi-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikoyi/banana-island/2922641-waterview-5-bedroom-terraced-duplex-with-swimming-pool-gym-and-bq
"Exquisitely Spacious 4 Bedroom Terrace Duplex Plus Bq, Private Garage","Ikeja, Ikeja, Lagos","₦250,000,000",4 Bed,5 Bath,5 Toilet,"King's Property

  09127609367",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922623/0684e9467c0409-exquisitely-spacious-4-bedroom-terrace-duplex-plus-bq-private-garage-terraced-duplexes-for-sale-ikeja-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikeja/2922623-exquisitely-spacious-4-bedroom-terrace-duplex-plus-bq-private-garage
Magnificently Newly Built 4 Bedroom Terraced Duplex With A Bq,"Omole Phase 1, Omole Phase 1, Ikeja, Lagos","₦280,000,000",4 Bed,5 Bath,5 Toilet,"King's Property

  09127609367",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922639/0684e987833fc3-magnificently-newly-built-4-bedroom-terraced-duplex-with-a-bq-terraced-duplexes-for-sale-omole-phase-1-ikeja-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikeja/omole-phase-1/2922639-magnificently-newly-built-4-bedroom-terraced-duplex-with-a-bq
Exquisitely Furnished 3 Bedroom Apartment In A Well Secured Neighborho,"Ogba, Ogba, Ikeja, Lagos","₦130,000,000",3 Bed,4 Bath,4 Toilet,"King's Property

  09127609367",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922635/0684e97dbeeccf-exquisitely-furnished-3-bedroom-apartment-in-a-well-secured-neighborho-for-sale-ogba-ikeja-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/ikeja/ogba/2922635-exquisitely-furnished-3-bedroom-apartment-in-a-well-secured-neighborho
Alluring  4 Bedroom Terrace Duplex Plus Bq,"Oregun, Ikeja, Lagos","₦280,000,000",4 Bed,5 Bath,5 Toilet,"God's Own Realty

  2348085712184",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922668/0684ea138d3bcf-alluring-4-bedroom-terrace-duplex-plus-bq-terraced-duplexes-for-sale-oregun-ikeja-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikeja/oregun/2922668-alluring-4-bedroom-terrace-duplex-plus-bq
Alluring  4 Bedroom Terrace Duplex Plus Bq .,"Oregun, Oregun, Ikeja, Lagos","₦280,000,000",4 Bed,4 Bath,4 Toilet,"King's Property

  09127609367",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922627/0684e951b2e746-alluring-4-bedroom-terrace-duplex-plus-bq-terraced-duplexes-for-sale-oregun-ikeja-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikeja/oregun/2922627-alluring-4-bedroom-terrace-duplex-plus-bq
Luxury 5bedroom Fully Detached Duplex,"Ajah, Ajah, Lagos","₦260,000,000",5 Bed,5 Bath,6 Toilet,"Viscount Realty-homes And Properties

  07066158626",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922634/0684e97cfdb53d-luxury-5bedroom-fully-detached-duplex-detached-duplexes-for-sale-ajah-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2922634-luxury-5bedroom-fully-detached-duplex
Nicely Built 4 Bedroom Terraced Duplex Plus Bq.,"Anthony Maryland, Anthony, Maryland, Lagos","₦250,000,000",4 Bed,4 Bath,4 Toilet,"King's Property

  09127609367",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922631/0684e967cab56b-nicely-built-4-bedroom-terraced-duplex-plus-bq-terraced-duplexes-for-sale-anthony-maryland-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/maryland/anthony/2922631-nicely-built-4-bedroom-terraced-duplex-plus-bq
Luxury Newly Built 3 Bedroom Semi Detached Duplex Plus Bq,"Magodo Isheri, Magodo, Lagos","₦140,000,000",3 Bed,4 Bath,4 Toilet,"King's Property

  09127609367",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922632/0684e972e26d6b-luxury-newly-built-3-bedroom-semi-detached-duplex-plus-bq-semi-detached-duplexes-for-sale-magodo-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/2922632-luxury-newly-built-3-bedroom-semi-detached-duplex-plus-bq
Newly Built 4 Bedroom Penthouse,"Lekki Phase 1, Lekki, Lagos","₦450,000,000",4 Bed,4 Bath,5 Toilet,"Jamesy Empire

  08166197539",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2773425/067d8c7833e52c-newly-built-4-bedroom-penthouse-for-sale-lekki-phase-1-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/lagos/lekki/lekki-phase-1/2773425-newly-built-4-bedroom-penthouse
